Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF;Code Ligne
2040TIC;23;AP;FTX;C108.4440.03;NON;;TexteLibre3;Commentaires type 1, ligne 3;;100548;
2040TIC;23;AP;FTX;C108.4440.04;NON;;TexteLibre4;Commentaires type 1, ligne 4;;100549;
2040TIC;23;AP;FTX;C108.4440.05;NON;;TexteLibre5;Commentaires type 1, ligne 5;;100550;
2040TIC;23;BA;QTY;C186.6060.01;NON;;Valeur;Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein / Quantité;Quantité avec 3 décimales;911321;
2040TIC;23;BB;QTY;C186.6060.01;NON;;Valeur;Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein / Quantité;Quantité avec 3 décimales;911323;
2040TIC;23;BC;QTY;C186.6060.01;NON;;Valeur;Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein / Quantité;Quantité avec 3 décimales;911319;
2040TIC;23;BD;QTY;C186.6060.01;NON;;Valeur;Tarif majoré à 25,8291 /MWh (bouclier tarifaire) - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911371;
2040TIC;23;BE;QTY;C186.6060.01;NON;;Valeur;Tarif à 22,50 /MWh (bouclier tarifaire) - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911369;
2040TIC;23;BG;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICFE Fournisseur - Taux plein / Quantité;Quantité entière sans décimale;911325;
2040TIC;23;BI;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911327;
2040TIC;23;BJ;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est strictement supérieure à 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911375;
2040TIC;23;BK;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911329;
2040TIC;23;BL;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est comprise entre 1,5 et 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911377;
2040TIC;23;BM;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911331;
2040TIC;23;BN;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est strictement inférieure à 1,5kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911379;
2040TIC;23;BO;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911333;
2040TIC;23;BP;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911381;
2040TIC;23;BQ;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911335;
2040TIC;23;BR;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911383;
2040TIC;23;BS;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par / de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911337;
2040TIC;23;BT;QTY;C186.6060.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911385;
2040TIC;23;BU;QTY;C186.6060.01;NON;;Valeur;Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911339;
2040TIC;23;BV;QTY;C186.6060.01;NON;;Valeur;Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911341;
2040TIC;23;BW;QTY;C186.6060.01;NON;;Valeur;Centres de stockage de données numériques avec consommations annuelles / 1kWh par / de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911343;
2040TIC;23;BX;QTY;C186.6060.01;NON;;Valeur;Centres de stockage de données numériques avec consommations annuelles / 1kWh par / de VA, pour les quantités excédant 1 GWh par an (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911387;
2040TIC;23;BY;QTY;C186.6060.01;NON;;Valeur;Exploitants d/aérodromes ouverts à la circulation aérienne publique, dont la consommation d/électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911345;
2040TIC;23;BZ;QTY;C186.6060.01;NON;;Valeur;Exploitants d/aérodromes ouverts à la circulation aérienne publique, dont la consommation d/électricité est > 222 Wh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911389;
2040TIC;23;CA;MOA;C516.5004.01;NON;;Valeur;Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein / Montant;Montant avec 2 décimales;911322;
2040TIC;23;CB;MOA;C516.5004.01;NON;;Valeur;Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein / Montant;Montant avec 2 décimales;911324;
2040TIC;23;CC;MOA;C516.5004.01;NON;;Valeur;Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein / Montant;Montant avec 2 décimales;911320;
2040TIC;23;CD;MOA;C516.5004.01;NON;;Valeur;Tarif majoré à 25,8291 /MWh (bouclier tarifaire) - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911372;
2040TIC;23;CE;MOA;C516.5004.01;NON;;Valeur;Tarif à 22,50 /MWh (bouclier tarifaire) - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911370;
2040TIC;23;CF;MOA;C516.5004.01;NON;;Valeur;Régularisation suite à TICFE collecté sur accomptes - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911368;
2040TIC;23;CG;MOA;C516.5004.01;NON;;Valeur;TOTAL - TICFE Fournisseur - Taux plein / Montant;Montant entier sans décimale;911326;
2040TIC;23;CH;MOA;C516.5004.01;NON;;Valeur;Excédent de TICFE constaté suite à application du bouclier tarifaire / TICFE taux pleins;Montant entier sans décimale;911448;
2040TIC;23;CI;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911328;
2040TIC;23;CJ;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est strictement supérieure à 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911376;
2040TIC;23;CK;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911330;
2040TIC;23;CL;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est comprise entre 1,5 et 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911378;
2040TIC;23;CM;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911332;
2040TIC;23;CN;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) dont la consommation est strictement inférieure à 1,5kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911380;
2040TIC;23;CO;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911334;
2040TIC;23;CP;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911382;
2040TIC;23;CQ;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911336;
2040TIC;23;CR;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911384;
2040TIC;23;CS;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par / de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911338;
2040TIC;23;CT;MOA;C516.5004.01;NON;;Valeur;Installations industrielles au sein de sites industriels électro-intensifs (ou d/entreprises industrielles électro-intensives) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911386;
2040TIC;23;CU;MOA;C516.5004.01;NON;;Valeur;Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911340;
2040TIC;23;CV;MOA;C516.5004.01;NON;;Valeur;Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911342;
2040TIC;23;CW;MOA;C516.5004.01;NON;;Valeur;Centres de stockage de données numériques avec consommations annuelles / 1kWh par / de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911344;
2040TIC;23;CX;MOA;C516.5004.01;NON;;Valeur;Centres de stockage de données numériques avec consommations annuelles / 1kWh par / de VA, pour les quantités excédant 1 GWh par an (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911388;
2040TIC;23;CY;MOA;C516.5004.01;NON;;Valeur;Exploitants d/aérodromes ouverts à la circulation aérienne publique, dont la consommation d/électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911346;
2040TIC;23;CZ;MOA;C516.5004.01;NON;;Valeur;Exploitants d/aérodromes ouverts à la circulation aérienne publique, dont la consommation d/électricité est > 222 Wh par / de VA (bouclier tarifaire) - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911390;
2040TIC;23;DA;QTY;C186.6060.01;NON;;Valeur;Électricité directement fournie, lors de leur stationnement à quai dans les ports, aux navires mentionnés au c du 1 de l'article 265 bis du code des douanes et aux engins bénéficiant de l'exonération au e du même 1 - TICFE Fournisseur - Taux réduits / Quantité;Quantité avec 3 décimales;911445;
2040TIC;23;DB;QTY;C186.6060.01;NON;;Valeur;Électricité directement fournie aux aéronefs lors de leur stationnement dans les aérodromes ouverts à la circulation aérienne publique - TICFE - Taux réduits / Quantité;Quantité avec 3 décimales;911391;
2040TIC;23;DC;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICFE Fournisseur - Taux réduits / Quantité;Quantité entière sans décimale;911347;
2040TIC;23;DE;QTY;C186.6060.01;NON;;Valeur;Réduction chimique, électrolyse, procédés métallurgiques - TICFE Fournisseur - QUANTITES EXONEREES;Quantité avec 3 décimales;911351;
2040TIC;23;DF;QTY;C186.6060.01;NON;;Valeur;Fabrication de produits minéraux non métalliques - TICFE Fournisseur - QUANTITES EXONEREES;Quantité avec 3 décimales;911352;
2040TIC;23;DG;QTY;C186.6060.01;NON;;Valeur;Entreprise pour laquelle l/électricité représente plus de 50 % du coût d/un produit - TICFE Fournisseur - QUANTITES EXONEREES;Quantité avec 3 décimales;911353;
2040TIC;23;DH;QTY;C186.6060.01;NON;;Valeur;Électricité utilisée dans les établissements de production de produits énergétiques - TICFE Fournisseur - QUANTITES EXONEREES;Quantité avec 3 décimales;911354;
2040TIC;23;DI;QTY;C186.6060.01;NON;;Valeur;Production d/électricité et maintien de la capacité de production d'électricité - TICFE - QUANTITES EXONEREES;Quantité avec 3 décimales;911355;
2040TIC;23;DJ;QTY;C186.6060.01;NON;;Valeur;Compensation des pertes réseaux - TICFE Fournisseur - QUANTITES EXONEREES;Quantité avec 3 décimales;911356;
2040TIC;23;DK;QTY;C186.6060.01;NON;;Valeur;Production d/électricité à bord des bateaux - TICFE - QUANTITES EXONEREES;Quantité avec 3 décimales;911357;
2040TIC;23;DL;QTY;C186.6060.01;NON;;Valeur;TOTAL - TICFE Fournisseur - QUANTITES EXONEREES;Quantité entière sans décimale;911358;
2040TIC;23;DM;QTY;C186.6060.01;NON;;Valeur;TOTAL QUANTITES FACTUREES - TICFE Fournisseur;Quantité entière sans décimale;911359;Q1
2040TIC;23;DN;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 6,63 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911394;
2040TIC;23;DO;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 6,24 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911396;
2040TIC;23;DP;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 4,68 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911398;
2040TIC;23;DQ;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 2,21 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911400;
2040TIC;23;DR;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 2,08 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911310;
2040TIC;23;DS;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 1,56 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911312;
2040TIC;23;DT;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 9,36 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911467;
2040TIC;23;DU;QTY;C186.6060.01;NON;;Valeur;Majoration Tarif à 3,12 /MWh - TICFE - Taux pleins / Quantité;Quantité avec 3 décimales;911469;
2040TIC;23;EA;MOA;C516.5004.01;NON;;Valeur;Électricité directement fournie, lors de leur stationnement à quai dans les ports, aux navires mentionnés au c du 1 de l'article 265 bis du code des douanes et aux engins bénéficiant de l'exonération au e du même 1 - TICFE Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911446;
2040TIC;23;EB;MOA;C516.5004.01;NON;;Valeur;Électricité directement fournie aux aéronefs lors de leur stationnement dans les aérodromes ouverts à la circulation aérienne publique - TICFE - Taux réduits / Montant;Montant avec 2 décimales;911392;
2040TIC;23;EC;MOA;C516.5004.01;NON;;Valeur;TOTAL - TICFE Fournisseur - Taux réduits / Montant;Montant entier sans décimale;911348;M1
2040TIC;23;ED;MOA;C516.5004.01;NON;;Valeur;TDCFE collectée sur acomptes 2022 : augmentation;Montant entier sans décimale;911443;
2040TIC;23;EE;MOA;C516.5004.01;NON;;Valeur;TDCFE collectée sur acomptes 2022 : diminution;Montant entier sans décimale;911444;
2040TIC;23;EF;MOA;C516.5004.01;NON;;Valeur;Régularisations commerciales à la hausse - TICFE;Montant entier sans décimale;911363;
2040TIC;23;EG;MOA;C516.5004.01;NON;;Valeur;Régularisations commerciales à la baisse - TICFE;Montant entier sans décimale;911365;
2040TIC;23;EH;MOA;C516.5004.01;NON;;Valeur;TOTAL TICFE avant régularisation / TICFE Fournisseur;Montant entier sans décimale;911522;
2040TIC;23;EI;MOA;C516.5004.01;NON;;Valeur;RÉGULARISATION fiscale augmentation -TICFE Fournisseur;Montant entier sans décimale;911349;
2040TIC;23;EJ;MOA;C516.5004.01;NON;;Valeur;RÉGULARISATION fiscale diminution -TICFE Fournisseur;Montant entier sans décimale;911447;
2040TIC;23;EK;MOA;C516.5004.01;NON;;Valeur;TOTAL TICFE DUE / TICFE Fournisseur;Montant entier sans décimale;911350;
2040TIC;23;EL;MOA;C516.5004.01;NON;;Valeur;Excédent TICFE - avant régularisation / TICFE Fournisseur;Montant entier sans décimale;911523;
2040TIC;23;EM;MOA;C516.5004.01;NON;;Valeur;ExcédentTICFE / TICFE Fournisseur;Montant entier sans décimale;911393;
2040TIC;23;EN;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 6,63 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911395;
2040TIC;23;EO;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 6,24 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911397;
2040TIC;23;EP;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 4,68 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911399;
2040TIC;23;EQ;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 2,21 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911401;
2040TIC;23;ER;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 2,08 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911311;
2040TIC;23;ES;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 1,56 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911313;
2040TIC;23;ET;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 9,36 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911468;
2040TIC;23;EU;MOA;C516.5004.01;NON;;Valeur;Majoration Tarif à 3,12 /MWh - TICFE - Taux pleins / Montant;Montant avec 2 décimales;911470;
2040TIC;23;FA;QTY;C186.6060.01;NON;;Valeur;Tarif plein pour un usage combustible ou cogénération au titre de l'année N / TICGN - Taux plein / Quantité;Quantité entière sans décimale;911237;
2040TIC;23;FB;QTY;C186.6060.01;NON;;Valeur;Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 / TICGN - Taux plein / Quantité;Quantité entière sans décimale;911264;
2040TIC;23;FC;QTY;C186.6060.01;NON;;Valeur;Usage combustible - Tarif à 8,37 /MWh - TICGN - Taux pleins / Quantité;Quantité entière sans décimale;911272;
2040TIC;23;FD;QTY;C186.6060.01;NON;;Valeur;Tarif plein pour un usage en tant que carburant (hors cogénération) / TICGN Fournisseur - Taux plein / Quantité;Quantité entière sans décimale;911235;
2040TIC;23;FE;QTY;C186.6060.01;NON;;Valeur;TOTAL / TICGN Fournisseur - Taux plein / Quantité;Quantité entière sans décimale;911239;
2040TIC;23;FF;QTY;C186.6060.01;NON;;Valeur;Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes / TICGN Fournisseur - Taux réduits / Quantité;Quantité entière sans décimale;911241;
2040TIC;23;FG;QTY;C186.6060.01;NON;;Valeur;Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l/alinéa 3 de l'article 265 nonies / TICGN Fournisseur - Taux réduits / Quantité;Quantité entière sans décimale;911243;
2040TIC;23;FH;QTY;C186.6060.01;NON;;Valeur;Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par euros de valeur ajoutée / TICGN Fournisseur - Taux réduits / Quantité;Quantité entière sans décimale;911245;
2040TIC;23;FI;QTY;C186.6060.01;NON;;Valeur;TOTAL / TICGN Fournisseur - Taux réduits / Quantité;Quantité entière sans décimale;911247;
2040TIC;23;FJ;QTY;C186.6060.01;NON;;Valeur;Usage autre que carburant ou combustible / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911251;
2040TIC;23;FK;QTY;C186.6060.01;NON;;Valeur;Double usage / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911252;
2040TIC;23;FL;QTY;C186.6060.01;NON;;Valeur;Fabrication de minéraux non métalliques / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911253;
2040TIC;23;FM;QTY;C186.6060.01;NON;;Valeur;Production de produits énergétiques / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911254;
2040TIC;23;FN;QTY;C186.6060.01;NON;;Valeur;Production d/électricité / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911255;
2040TIC;23;FO;QTY;C186.6060.01;NON;;Valeur;Production ou extraction de gaz naturel / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911256;
2040TIC;23;FP;QTY;C186.6060.01;NON;;Valeur;Biogaz / TICGN Fournisseur - QUANTITÉS EXEMPTEES;Quantité entière sans décimale;911257;
2040TIC;23;FQ;QTY;C186.6060.01;NON;;Valeur;Avitaillement des navires en GNL / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911258;
2040TIC;23;FR;QTY;C186.6060.01;NON;;Valeur;TOTAL / TICGN Fournisseur - QUANTITES EXEMPTEES;Quantité entière sans décimale;911259;
2040TIC;23;FS;QTY;C186.6060.01;NON;;Valeur;TOTAL QUANTITES FACTUREES - TICGN Fournisseur;Quantité entière sans décimale;911260;Q2
2040TIC;23;GA;MOA;C516.5004.01;NON;;Valeur;Tarif plein pour un usage combustible ou cogénération au titre de l'année N / TICGN - Taux plein / Montant;Montant avec 2 décimales;911238;
2040TIC;23;GB;MOA;C516.5004.01;NON;;Valeur;Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 / TICGN - Taux plein / Montant;Montant avec 2 décimales;911265;
2040TIC;23;GC;MOA;C516.5004.01;NON;;Valeur;Usage combustible - Tarif à 8,37 /MWh - TICGN - Taux pleins / Montant;Montant avec 2 décimales;911273;
2040TIC;23;GD;MOA;C516.5004.01;NON;;Valeur;Tarif plein pour un usage en tant que carburant (hors cogénération) / TICGN Fournisseur - Taux plein / Montant;Montant avec 2 décimales;911236;
2040TIC;23;GE;MOA;C516.5004.01;NON;;Valeur;TOTAL / TICGN Fournisseur - Taux plein / Montant;Montant entier sans décimale;911240;
2040TIC;23;GF;MOA;C516.5004.01;NON;;Valeur;Entreprises grandes consommatrices d'énergie soumise au SEQE Quantités taxables au titre du régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes / TICGN Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911242;
2040TIC;23;GG;MOA;C516.5004.01;NON;;Valeur;Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l/alinéa 3 de l'article 265 nonies / TICGN Fournisseur - Taux réduits / Montant;Montant avec 2 décimales;911244;
